freq,class,sub_class,name,tooltip,alias,ignore
56,VERB,NA,suspend,suspend,\bsuspend\b|\bsuspended\b|\bSuspended\b|\bsuspending\b,FALSE
55,VERB,NA,settle,settle,\bsettle\b|\bsettled\b|\bsettling\b,FALSE
55,VERB,NA,assure,assure,\bassure\b|\bassured\b|\bassures\b|\bassuring\b,FALSE
55,VERB,NA,characterize,characterize,\bcharacterize\b|\bcharacterized\b|\bcharacterizes\b|\bcharacterizing\b,FALSE
54,VERB,NA,thrill,thrill,\bthrilled\b|\bthrilling\b,FALSE
53,VERB,NA,damaged,damaged,\bdamaged\b,FALSE
53,VERB,NA,root,root,\broot\b|\bRoot\b|\brooted\b|\broots\b,FALSE
53,VERB,NA,trigger,trigger,\btrigger\b|\btriggered\b|\bTriggered\b|\btriggering\b|\btriggers\b,FALSE
52,VERB,NA,emphasise,emphasise,\bemphasise\b|\bemphasised\b|\bemphasises\b|\bemphasising\b,FALSE
52,VERB,NA,accompanying,accompanying,\baccompanying\b,FALSE
52,VERB,NA,deem,deem,\bdeem\b|\bdeemed\b|\bDeemed\b|\bdeems\b,FALSE
52,VERB,NA,levelise,levelise,\blevelised\b,FALSE
51,VERB,NA,binding,binding,\bbinding\b,FALSE
51,VERB,NA,bundle,bundle,\bbundle\b|\bbundled\b|\bbundles\b|\bbundling\b,FALSE
51,VERB,NA,attempt,attempt,\battempt\b|\battempted\b|\battempting\b|\battempts\b|\bAttempts\b,FALSE
50,VERB,NA,commercialize,commercialize,\bcommercialize\b|\bcommercialized\b|\bcommercializing\b,FALSE
50,VERB,NA,finalize,finalize,\bfinalize\b|\bfinalized\b|\bfinalizing\b,FALSE
50,VERB,NA,standardize,standardize,\bstandardize\b|\bstandardized\b|\bstandardizes\b|\bstandardizing\b,FALSE
50,VERB,NA,configured,configured,\bconfigured\b,FALSE
50,VERB,NA,endorse,endorse,\bendorse\b|\bendorsed\b|\bendorses\b,FALSE
50,VERB,NA,focuss,focuss,\bfocussed\b|\bfocusses\b,FALSE
49,VERB,NA,exhibiting,exhibiting,\bexhibiting\b,FALSE
49,VERB,NA,retrofit,retrofit,\bretrofit\b|\bRetrofit\b|\bretrofits\b|\bretrofitted\b|\bretrofitting\b,FALSE
48,VERB,NA,argue,argue,\bargue\b|\bargued\b|\bargues\b|\barguing\b,FALSE
48,VERB,NA,survive,survive,\bsurvive\b|\bsurvived\b|\bsurvives\b|\bsurviving\b,FALSE
47,VERB,NA,profil,profil,\bprofiled\b|\bprofiling\b,FALSE
47,VERB,NA,derive,derive,\bderive\b|\bderived\b|\bderives\b|\bderiving\b,FALSE
46,VERB,NA,estate,estate,\bestate\b,FALSE
46,VERB,NA,accumulate,accumulate,\baccumulate\b|\baccumulated\b|\bAccumulated\b|\baccumulates\b|\baccumulating\b,FALSE
46,VERB,NA,impacte,impacte,\bimpacted\b|\bimpacting\b,FALSE
46,VERB,NA,love,love,\blove\b|\bLove\b|\bloved\b,FALSE
46,VERB,NA,taske,taske,\btasked\b,FALSE
45,VERB,NA,reap,reap,\breap\b|\breaped\b|\breaping\b,FALSE
45,VERB,NA,renam,renam,\brenamed\b|\brenaming\b,FALSE
